Peles_nr	Grupe	Dienos_po_imunizacijos	WBC 	LYM	MONO	PLT
1	2	0	5,8	1	0,2	671
2	2	0	7,4	2,5	0	722
3	2	0	4,9	0,4	0,2	568
4	2	0	4,1	0,5	0	477
5	2	0	3,4	0,2	0	603
11	1	0	5,7	0,3	0,4	276
12	1	0	3,7	0,1	0,2	558
13	1	0	3,2	0,2	0,3	526
14	1	0	3,4	0,5	0	692
15	1	0	2,6	0,1	0	696
1	2	3	17	2,9	0,9	571
2	2	3	32,9	3,2	2,2	747
3	2	3	31,5	4,9	1,9	597
4	2	3	33	3,7	1,8	729
5	2	3	28,7	3,3	1,5	653
11	1	3	23,7	2,8	0,9	660
12	1	3	35	4,8	2,3	769
13	1	3	28,2	3,5	1,6	668
14	1	3	13,6	3,3	0,3	842
15	1	3	2,5	0,3	0,3	465
1	2	7	10,3	3,6	0	334
2	2	7	24	4,3	0,2	378
3	2	7	39,9	7,1	0,7	293
4	2	7	25,9	5,2	0,1	675
5	2	7	29,1	4	0,2	412
11	1	7	34,1	4,9	0,2	845
12	1	7	35,2	4,6	0,6	733
13	1	7	43,6	3,5	0,8	560
14	1	7	15,2	3,9	0,1	379
15	1	7	1,4	0,6	0,1	203
1	2	21	13,3	1,9	0,5	211
2	2	21	38,2	1,3	2,1	968
3	2	21	40,5	0,7	1,9	808
4	2	21	40,6	1	2,3	399
5	2	21	71,2	2,5	3,9	891
11	1	21	20	1,4	1,8	658
12	1	21	41,2	1,8	3	923
13	1	21	10,1	3,1	0,7	568
14	1	21	28	1,8	1,7	717
15	1	21	5,3	0,8	0,7	506
